Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Kyungyun Lee;Gladys Hitt;Emily Terada;Jin Ha Lee	Ethics of Singing Voice Synthesis: Perceptions of Users and Developers	2022	https://doi.org/10.5281/zenodo.7316768	Kyungyun Lee, Gaudio Lab, Korea, company;Gladys Hitt, University of Washington, Seattle, USA, education;Emily Terada, University of Washington, Seattle, USA, education;Jin Ha Lee, University of Washington, Seattle, USA, education	 Gaudio Lab, University of Washington Seattle, University of Washington Seattle, University of Washington Seattle	company, education, education, education	KOR, USA, USA, USA
Alison B Ma;Alexander Lerch	Representation Learning for the Automatic Indexing of Sound Effects Libraries	2022	https://doi.org/10.5281/zenodo.7316800	Alison B. Ma, Georgia Institute of Technology, USA, education;Alexander Lerch, Georgia Institute of Technology, USA, education	 Georgia Institute of Technology, Georgia Institute of Technology	education, education	USA, USA
Ashvala Vinay;Alexander Lerch	Evaluating Generative Audio Systems and Their Metrics	2022	https://doi.org/10.5281/zenodo.7343083	Ashvala Vinay, Center for Music Technology, Georgia Institute of Technology, USA, education;Alexander Lerch, Center for Music Technology, Georgia Institute of Technology, USA, education	Georgia Institute of Technology,Georgia Institute of Technology	education, education	USA, USA
Anup Singh;Kris Demuynck;Vipul Arora	Attention-based audio embeddings for query-by-example	2022	https://doi.org/10.5281/zenodo.7316592	Anup Singh, IDLab, Department of Electronics and Information Systems, imec - Ghent University, BEL, education; Department of Electrical Engineering, Indian Institute of Technology Kanpur, IND, education;Kris Demuynck, IDLab, Department of Electronics and Information Systems, imec - Ghent University, BEL, education;Vipul Arora, Department of Electrical Engineering, Indian Institute of Technology Kanpur, IND, education	Ghent University, IIT Kanpur, Ghent University, IIT Kanpur	education, education, education, education	BEL, IND, BEL, IND
Curtis Hawthorne;Ian Simon;Adam Roberts;Neil Zeghidour;Joshua Gardner;Ethan Manilow;Jesse Engel	Multi-instrument Music Synthesis with Spectrogram Diffusion	2022	https://doi.org/10.5281/zenodo.7316734	Curtis Hawthorne, Google Research, Brain Team, USA, company;Ian Simon, Google Research, Brain Team, USA, company;Adam Roberts, Google Research, Brain Team, USA, company;Neil Zeghidour, Google Research, Brain Team, USA, company;Josh Gardner, Google Research, Brain Team, USA, company;Ethan Manilow, Google Research, Brain Team, USA, company;Jesse Engel, Google Research, Brain Team, USA, company	Google Brain,Google Brain,Google Brain,Google Brain,Google Brain,Google Brain,Google Brain	company, company, company, company, company, company, company	USA, USA, USA, USA, USA, USA, USA
Ian Simon;Joshua Gardner;Curtis Hawthorne;Ethan Manilow;Jesse Engel	Scaling Polyphonic Transcription with Mixtures of Monophonic Transcriptions	2022	https://doi.org/10.5281/zenodo.7316590	Ian Simon, Google Research, Brain Team, education;Josh Gardner, Google Research, Brain Team, education;Curtis Hawthorne, Google Research, Brain Team, education;Ethan Manilow, Google Research, Brain Team, education;Jesse Engel, Google Research, Brain Team, education	 Google Research, Google Research, Google Research, Google Research, Google Research	company, company, company, company, company	USA, USA, USA, USA, USA
Qingqing Huang;Aren Jansen;Joonseok Lee;Ravi Ganti;Judith Yue Li;Daniel P W Ellis	MuLan: A Joint Embedding of Music Audio and Natural Language	2022	https://doi.org/10.5281/zenodo.7316724	Qingqing Huang, Google Research, USA, company;Aren Jansen, Google Research, USA, company;Joonseok Lee, Google Research, USA, company, Seoul National University, KOR, education;Ravi Ganti, Google Research, USA, company;Judith Yue Li, Google Research, USA, company;Daniel P. W. Ellis, Google Research, USA, company	 Google Research, Google Research, Google Research, Google Research, Google Research, Google Research	company, company, company, company, company, company	USA, USA, USA, USA, USA, USA
Marcos Acosta;Irmak Bukey;T J Tsai	An Exploration of Generating Sheet Music Images	2022	https://doi.org/10.5281/zenodo.7316758	Marcos Acosta, Harvey Mudd College, USA, education;Irmak Bukey, Pomona College, USA, education;TJ Tsai, Harvey Mudd College, USA, education	 Harvey Mudd College, Pomona College, Harvey Mudd College	education, education, education	USA, USA, USA
Rishabh A Dahale;Vaibhav Vinayak Talwadker;Preeti Rao;Prateek Verma	Generating Coherent Drum Accompaniment with Fills and Improvisations	2022	https://doi.org/10.5281/zenodo.7316646	Rishabh Dahale, Indian Institute of Technology Bombay, IND, education;Vaibhav Talwadker, Indian Institute of Technology Bombay, IND, education;Preeti Rao, Indian Institute of Technology Bombay, IND, education;Prateek Verma, Stanford University, USA, education	IIT Bombay, IIT Bombay, IIT Bombay, Stanford University	education, education, education, education	IND, IND, IND, USA
Yigitcan Özer;Matej Ištvánek;Vlora Arifi-Müller;Meinard Müller	Using Activation Functions for Improving Measure-Level Audio Synchronization	2022	https://doi.org/10.5281/zenodo.7342932	Yigitcan Özer, International Audio Laboratories Erlangen, Germany, facility;Matěj Ištvánek, Brno University of Technology, Brno, Czech Republic, education;Vlora Arifi-Müller, International Audio Laboratories Erlangen, Germany, facility;Meinard Müller, International Audio Laboratories Erlangen, Germany, facility	 International Audio Laboratories Erlangen, Brno University of Technology, International Audio Laboratories Erlangen, International Audio Laboratories Erlangen	facility, education, facility, facility	DEU, CZE, DEU, DEU
