Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Peter Jan O. Doets;Reginald L. Lagendijk	Stochastic Model of a Robust Audio Fingerprinting System.	2004	https://doi.org/10.5281/zenodo.1416490	P.J.O. Doets, Delft University of Technology, NLD, education;R.L. Lagendijk, Delft University of Technology, NLD, education	Technische Universiteit Delft, Technische Universiteit Delft	education, education	NLD, NLD
Fabio Vignoli;Rob van Gulik;Huub van de Wetering	Mapping Music In The Palm Of Your Hand, Explore And Discover Your Collection.	2004	https://doi.org/10.5281/zenodo.1416960	Rob van Gulik, Technische Universiteit Eindhoven, NLD, education;Fabio Vignoli, Philips Research Laboratories, NLD, company;Huub van de Wetering, Technische Universiteit Eindhoven, NLD, education	 Technische Universiteit Eindhoven, Philips Research, Technische Universiteit Eindhoven	education, company, education	NLD, NLD, NLD
Miguel A. Alonso;Gaël Richard;Bertrand David	Tempo And Beat Estimation Of Musical Signals.	2004	https://doi.org/10.5281/zenodo.1415784	Miguel Alonso, ENST-GET, D´epartement TSI, France, education;Bertrand David, ENST-GET, D´epartement TSI, France, education;Ga¨el Richard, ENST-GET, D´epartement TSI, France, education	Telecom ParisTech, Telecom ParisTech, Telecom ParisTech	education, education, education	FRA, FRA, FRA
Slim Essid;Gaël Richard;Bertrand David	Musical instrument recognition based on class pairwise feature selection.	2004	https://doi.org/10.5281/zenodo.1418253	Slim ESSID, GET-ENST (Télécom Paris), FRA, education;Gaël RICHARD, GET-ENST (Télécom Paris), FRA, education;Bertrand DAVID, GET-ENST (Télécom Paris), FRA, education	Telecom ParisTech,Telecom ParisTech,Telecom ParisTech	education, education, education	FRA, FRA, FRA
Jane Singer	Creating a nested melodic representation: competition and cooperation among bottom-up and top-down Gestalt principles.	2004	https://doi.org/10.5281/zenodo.1417965	Jane Singer, The Hebrew University of Jerusalem, The Department of Musicology, ISR, education	The Hebrew University of Jerusalem	education	ISR
Shai Shalev-Shwartz;Joseph Keshet;Yoram Singer	Learning to Align Polyphonic Music.	2004	https://doi.org/10.5281/zenodo.1416546	Shai Shalev-Shwartz, The Hebrew University, ISR, education;Joseph Keshet, The Hebrew University, ISR, education;Yoram Singer, The Hebrew University, ISR, education	The Hebrew University of Jerusalem, The Hebrew University of Jerusalem,The Hebrew University of Jerusalem	education, education, education	ISR, ISR, ISR
Akinori Ito;Sung-Phil Heo;Motoyuki Suzuki;Shozo Makino	Comparison Of Features For DP-Matching Based Query-by-Humming System.	2004	https://doi.org/10.5281/zenodo.1416178	Akinori Ito, Tohoku University, JPN, education;Sung-Phil Heo, Korea Telecom Research & Development Group, KOR, company;Motoyuki Suzuki, Tohoku University, JPN, education;Shozo Makino, Tohoku University, JPN, education	 Tohoku University, Korea Telecom Research & Development Group, Tohoku University, Tohoku University	education, company, education, education	JPN, KOR, JPN, JPN
Meinard Müller;Frank Kurth;Tido Röder	Towards an Efficient Algorithm for Automatic Score-to-Audio Synchronization.	2004	https://doi.org/10.5281/zenodo.1416302	Meinard Müller, Universität Bonn, Institut für Informatik III, DEU, education;Frank Kurth, Universität Bonn, Institut für Informatik III, DEU, education;Tido Röder, Universität Bonn, Institut für Informatik III, DEU, education	University of Bonn,University of Bonn,University of Bonn	education, education, education	DEU, DEU, DEU
Òscar Celma	Architecture for an MPEG-7 Web Browser.	2004	https://doi.org/10.5281/zenodo.1417229	Oscar Celma, Universitat Pompeu Fabra, ESP, education	Universitat Pompeu Fabra	education	ESP
Fabien Gouyon;Simon Dixon	Dance music classification: A tempo-based approach.	2004	https://doi.org/10.5281/zenodo.1416636	Fabien Gouyon, Universitat Pompeu Fabra, ESP, education;Simon Dixon, Austrian Research Institute for AI, AUT, facility	 Universitat Pompeu Fabra, Austrian Research Institute for Artificial Intelligence	education, facility	ESP, AUT
Emilia Gómez;Perfecto Herrera	Estimating The Tonality Of Polyphonic Audio Files: Cognitive Versus Machine Learning Modelling Strategies.	2004	https://doi.org/10.5281/zenodo.1418007	Emilia Gómez, Universitat Pompeu Fabra, ESP, education;Perfecto Herrera, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education	ESP, ESP
Otto Wüst;Òscar Celma	An MPEG-7 Database System and Application for Content-Based Management and Retrieval of Music.	2004	https://doi.org/10.5281/zenodo.1418375	Otto Wust, Universitat Pompeu Fabra, ESP, education;Oscar Celma, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education	ESP, ESP
Pedro Cano;Markus Koppenberger	The emergence of complex network patterns in music networks.	2004	https://doi.org/10.5281/zenodo.1417663	Pedro Cano, Universitat Pompeu Fabra, ESP, education;Markus Koppenberger, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education	ESP, ESP
Jose Pedro;Vadim Tarasov;Eloi Batlle;Enric Guaus;Jaume Masip	Industrial audio fingerprinting distributed system with CORBA and Web Services.	2004	https://doi.org/10.5281/zenodo.1414792	Jose P. G. Mahedero, Universitat Pompeu Fabra, ESP, education;Vadim Tarasov, Universitat Pompeu Fabra, ESP, education;Eloi Batlle, Universitat Pompeu Fabra, ESP, education;Enric Guaus, Universitat Pompeu Fabra, ESP, education;Jaume Masip, Universitat Pompeu Fabra, ESP, education	 Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education, education, education, education	ESP, ESP, ESP, ESP, ESP
Pierre Hanna;Nicolas Louis;Myriam Desainte-Catherine;Jenny Benois-Pineau	Audio Features for Noisy Sound Segmentation.	2004	https://doi.org/10.5281/zenodo.1415214	Pierre Hanna, Université de Bordeaux 1, FRA, education;Nicolas Louis, Université de Bordeaux 1, FRA, education;Myriam Desainte-Catherine, Université de Bordeaux 1, FRA, education;Jenny Benois-Pineau, Université de Bordeaux 1, FRA, education	University of Bordeaux,University of Bordeaux,University of Bordeaux,University of Bordeaux	education, education, education, education	FRA, FRA, FRA, FRA
Aggelos Pikrakis;Iasonas Antonopoulos;Sergios Theodoridis	Music meter and tempo tracking from raw polyphonic audio.	2004	https://doi.org/10.5281/zenodo.1416348	Aggelos Pikrakis, University of Athens, GRC, education;Iasonas Antonopoulos, University of Athens, GRC, education;Sergios Theodoridis, University of Athens, GRC, education	University of Athens, University of Athens, University of Athens	education, education, education	GRC, GRC, GRC
Frank Kurth;Meinard Müller;Andreas Ribbrock;Tido Röder;David Damm;Christian Fremerey	A Prototypical Service for Real-Time Access to Local Context-Based Music Information.	2004	https://doi.org/10.5281/zenodo.1414926	Frank Kurth, University of Bonn, Germany, education;Meinard Müller, University of Bonn, Germany, education;Andreas Ribbrock, University of Bonn, Germany, education;Tido Röder, University of Bonn, Germany, education;David Damm, University of Bonn, Germany, education;Christian Fremerey, University of Bonn, Germany, education	 University of Bonn, University of Bonn, University of Bonn, University of Bonn, University of Bonn, University of Bonn	education, education, education, education, education, education	DEU, DEU, DEU, DEU, DEU, DEU
Kristopher West;Stephen Cox	Features and classifiers for the automatic classification of musical audio signals.	2004	https://doi.org/10.5281/zenodo.1418025	Kris West, University of East Anglia, GBR, education;Stephen Cox, University of East Anglia, GBR, education	 University of East Anglia, University of East Anglia	education, education	GBR, GBR
Ming Li;Ronan Sleep	Improving Melody Classification by Discriminant Feature Extraction and Fusion.	2004	https://doi.org/10.5281/zenodo.1416728	Ming Li, University of East Anglia, GBR, education;Ronan Sleep, University of East Anglia, GBR, education	 University of East Anglia, University of East Anglia	education, education	GBR, GBR
Klaus Frieler	Beat and meter extraction using gaussified onsets.	2004	https://doi.org/10.5281/zenodo.1417851	Klaus Frieler, University of Hamburg, DEU, education	University of Hamburg	education	DEU
Daniel Müllensiefen;Klaus Frieler	Optimizing Measures Of Melodic Similarity For The Exploration Of A Large Folk Song Database.	2004	https://doi.org/10.5281/zenodo.1418031	Daniel Müllensiefen, University of Hamburg, DEU, education;Klaus Frieler, University of Hamburg, DEU, education	 University of Hamburg, University of Hamburg	education, education	DEU, DEU
Anna Pienimäki;Kjell Lemström	Clustering Symbolic Music Using Paradigmatic and Surface Level Analyses.	2004	https://doi.org/10.5281/zenodo.1417447	Anna Pienimäki, University of Helsinki, FIN, education;Kjell Lemström, University of Helsinki, FIN, education	 University of Helsinki, University of Helsinki	education, education	FIN, FIN
Jin Ha Lee;J. Stephen Downie	Survey Of Music Information Needs, Uses, And Seeking Behaviours: Preliminary Findings.	2004	https://doi.org/10.5281/zenodo.1417637	Jin Ha Lee, University of Illinois at Urbana-Champaign, USA, education;J. Stephen Downie, University of Illinois at Urbana-Champaign, USA, education	 University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign	education, education	USA, USA
J. Stephen Downie;Joe Futrelle;David K. Tcheng	The International Music Information Retrieval Systems Evaluation Laboratory: Governance, Access and Security.	2004	https://doi.org/10.5281/zenodo.1415120	J. Stephen Downie, Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign, USA, education;Joe Futrelle, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign, USA, facility;David Tcheng, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign, USA, facility	University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign, University of Illinois Urbana-Champaign	education, education, education	USA, USA, USA
Olivier Lartillot	A multi-parametric and redundancy-filtering approach to pattern identification.	2004	https://doi.org/10.5281/zenodo.1416426	Olivier Lartillot, University of Jyväskylä, FIN, education	University of Jyväskylä	education	FIN
Tuomas Eerola;Petri Toiviainen	MIR In Matlab: The MIDI Toolbox.	2004	https://doi.org/10.5281/zenodo.1416234	Tuomas Eerola, University of Jyväskylä, FIN, education;Petri Toiviainen, University of Jyväskylä, FIN, education	 University of Jyväskylä, University of Jyväskylä	education, education	FIN, FIN
Matija Marolt	Gaussian Mixture Models For Extraction Of Melodic Lines From Audio Recordings.	2004	https://doi.org/10.5281/zenodo.1416576	Matija Marolt, University of Ljubljana, SVN, education	University of Ljubljana	education	SVN
AnYuan Guo;Hava T. Siegelmann	Time-Warped Longest Common Subsequence Algorithm for Music Retrieval.	2004	https://doi.org/10.5281/zenodo.1417165	AnYuan Guo, University of Massachusetts, Amherst, USA, education;Hava Siegelmann, University of Massachusetts, Amherst, USA, education	 University of Massachusetts Amherst, University of Massachusetts Amherst	education, education	USA, USA
Josh Stoddard;Christopher Raphael;Paul E. Utgoff	Well-Tempered Spelling: A Key Invariant Pitch Spelling Algorithm.	2004	https://doi.org/10.5281/zenodo.1414762	Joshua Stoddard, U. Mass., Amherst, USA, education;Christopher Raphael, U. Mass., Amherst, USA, education;Paul E. Utgoff, U. Mass., Amherst, USA, education	University of Massachusetts Amherst, University of Massachusetts Amherst, University of Massachusetts Amherst	education, education, education	USA, USA, USA
David Hirst	An Analytical Methodology for Acousmatic Music.	2004	https://doi.org/10.5281/zenodo.1415656	David Hirst, University of Melbourne, AUS, education	University of Melbourne	education	AUS
Andrew Nesbit;Lloyd Hollenberg;Anthony Senyard	Towards Automatic Transcription of Australian Aboriginal Music.	2004	https://doi.org/10.5281/zenodo.1416874	Andrew Nesbit, University of Melbourne, AUS, education;Lloyd Hollenberg, University of Melbourne, AUS, education;Anthony Senyard, University of Melbourne, AUS, education	 University of Melbourne, University of Melbourne, University of Melbourne	education, education, education	AUS, AUS, AUS
Norman H. Adams;Mark A. Bartsch;Jonah Shifrin;Gregory H. Wakefield	Time Series Alignment for Music Information Retrieval.	2004	https://doi.org/10.5281/zenodo.1415694	Norman H. Adams, University of Michigan, USA, education;Mark A. Bartsch, University of Michigan, USA, education;Jonah B. Shifrin, University of Michigan, USA, education;Gregory H. Wakefield, University of Michigan, USA, education	 University of Michigan, University of Michigan, University of Michigan, University of Michigan	education, education, education, education	USA, USA, USA, USA
Vegard Sandvold;Fabien Gouyon;Perfecto Herrera	Drum sound classification in polyphonic audio recordings using localized sound models.	2004	https://doi.org/10.5281/zenodo.1415808	Vegard Sandvold, University of Oslo, NOR, education;Fabien Gouyon, Universitat Pompeu Fabra, ESP, education;Perfecto Herrera, Universitat Pompeu Fabra, ESP, education	 University of Oslo, Universitat Pompeu Fabra, Universitat Pompeu Fabra	education, education, education	NOR, ESP, ESP
Tillman Weyde	The Influence of Pitch on Melodic Segmentation.	2004	https://doi.org/10.5281/zenodo.1415556	Tillman Weyde, University of Osnabrück, Research Department of Music and Media Technology, DEU, education	University of Osnabrück	education	DEU
Dan Yang;Won-Sook Lee	Disambiguating Music Emotion Using Software Agents.	2004	https://doi.org/10.5281/zenodo.1415272	Dan Yang, University of Ottawa, CAN, education;WonSook Lee, University of Ottawa, CAN, education	 University of Ottawa, University of Ottawa	education, education	CAN, CAN
Giovanna Neve;Nicola Orio	Indexing and Retrieval of Music Documents through Pattern Analysis and Data Fusion Techniques.	2004	https://doi.org/10.5281/zenodo.1416372	Giovanna Neve, University of Padova, ITA, education;Nicola Orio, University of Padova, ITA, education	 University of Padova, University of Padova	education, education	ITA, ITA
Roberto Basili;Alfredo Serafini;Armando Stellato	Classification of musical genre: a machine learning approach.	2004	https://doi.org/10.5281/zenodo.1416754	Roberto Basili, University of Rome Tor Vergata, Italy, education;Alfredo Serafini, University of Rome Tor Vergata, Italy, education;Armando Stellato, University of Rome Tor Vergata, Italy, education	 University of Rome Tor Vergata, University of Rome Tor Vergata, University of Rome Tor Vergata	education, education, education	ITA, ITA, ITA
Jana Eggink;Guy J. Brown	Extracting Melody Lines From Complex Audio.	2004	https://doi.org/10.5281/zenodo.1418003	Jana Eggink, University of Sheffield, GBR, education;Guy J. Brown, University of Sheffield, GBR, education	 University of Sheffield, University of Sheffield	education, education	GBR, GBR
Haruto Takeda;Takuya Nishimoto;Shigeki Sagayama	Rhythm and Tempo Recognition of Music Performance from a Probabilistic Approach.	2004	https://doi.org/10.5281/zenodo.1418209	Haruto Takeda, Graduate School of Information Science and Technology, The University of Tokyo, JPN, education;Takuya Nishimoto, Graduate School of Information Science and Technology, The University of Tokyo, JPN, education;Shigeki Sagayama, Graduate School of Information Science and Technology, The University of Tokyo, JPN, education	University of Tokyo, University of Tokyo, University of Tokyo	education, education, education	JPN, JPN, JPN
Tomoyasu Nakano;Jun Ogata;Masataka Goto;Yuzuru Hiraga	A Drum Pattern Retrieval Method by Voice Percussion.	2004	https://doi.org/10.5281/zenodo.1417569	Tomoyasu Nakano, University of Tsukuba, JPN, education;Jun Ogata, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Yuzuru Hiraga, University of Tsukuba, JPN, education	 University of Tsukuba, National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology, University of Tsukuba	education, facility, facility, education	JPN, JPN, JPN, JPN
George Tzanetakis;Ajay Kapur;Manj Benning	Query-by-Beat-Boxing: Music Retrieval For The DJ.	2004	https://doi.org/10.5281/zenodo.1418033	Ajay Kapur, University of Victoria, CAN, education;Manj Benning, University of Victoria, CAN, education;George Tzanetakis, University of Victoria, CAN, education	 University of Victoria, University of Victoria, University of Victoria	education, education, education	CAN, CAN, CAN
David Bainbridge;Sally Jo Cunningham;J. Stephen Downie	Visual Collaging Of Music In A Digital Library.	2004	https://doi.org/10.5281/zenodo.1415832	David Bainbridge, University of Waikato, NZL, education;Sally Jo Cunningham, University of Waikato, NZL, education;J. Stephen Downie, University of Illinois, USA, education	 University of Waikato, University of Waikato, University of Illinois	education, education, education	NZL, NZL, USA
David Bainbridge;Sally Jo Cunningham;J. Stephen Downie	GREENSTONE as a Music Digital Library Toolkit.	2004	https://doi.org/10.5281/zenodo.1417573	David Bainbridge, University of Waikato, NZL, education;Sally Jo Cunningham, University of Waikato, NZL, education;J. Stephen Downie, University of Illinois, USA, education	 University of Waikato, University of Waikato, University of Illinois	education, education, education	NZL, NZL, USA
Steve Jones;Sally Jo Cunningham;Matt Jones 0001	Organizing digital music for use: an examination of personal music collections.	2004	https://doi.org/10.5281/zenodo.1416298	Sally Jo Cunningham, University of Waikato, NZL, education;Matt Jones, University of Waikato, NZL, education;Steve Jones, University of Waikato, NZL, education	 University of Waikato, University of Waikato, University of Waikato	education, education, education	NZL, NZL, NZL
Anna Lubiw;Luke Tanur	Pattern Matching in Polyphonic Music as a Weighted Geometric Translation Problem.	2004	https://doi.org/10.5281/zenodo.1417969	Anna Lubiw, University of Waterloo, CAN, education;Luke Tanur, University of Waterloo, CAN, education	 University of Waterloo, University of Waterloo	education, education	CAN, CAN
Gavin Wood;Simon O'Keefe	A Case Study of Distributed Music Audio Analysis Using the Geddei Processing Framework.	2004	https://doi.org/10.5281/zenodo.1414810	Gavin Wood, ;Simon O’Keefe, University of York, GBR, education	University of York, University of York	education, education	GBR, GBR
Shyamala Doraisamy;Stefan M. Rüger	A Polyphonic Music Retrieval System Using N-Grams.	2004	https://doi.org/10.5281/zenodo.1417961	Shyamala Doraisamy, University Putra Malaysia, MYS, education;Stefan R¨uger, Imperial College London, GBR, education	 University Putra Malaysia, Imperial College London	education, education	MYS, GBR
Rainer Typke;Frans Wiering;Remco C. Veltkamp	A search method for notated polyphonic music with pitch and tempo fluctuations.	2004	https://doi.org/10.5281/zenodo.1417947	Rainer Typke, Utrecht University, NLD, education;Frans Wiering, Utrecht University, NLD, education;Remco C. Veltkamp, Utrecht University, NLD, education	 Utrecht University, Utrecht University, Utrecht University	education, education, education	NLD, NLD, NLD
Kristoffer Jensen;Jieping Xu;Martin Zachariasen	Rhythm-Based Segmentation of Popular Chinese Music.	2005	https://doi.org/10.5281/zenodo.1418117	Kristoffer Jensen, University of Aalborg Esbjerg, DNK, education;Jieping Xu, Renmin University, CHN, education;Martin Zachariasen, University of Copenhagen, DNK, education	Aalborg University, Renmin University, University of Copenhagen	education, education, education	DNK, CHN, DNK
Wei-Ho Tsai;Hung-Ming Yu;Hsin-Min Wang	Query-By-Example Technique for Retrieving Cover Versions of Popular Songs with Similar Melodies.	2005	https://doi.org/10.5281/zenodo.1415200	Wei-Ho Tsai, Institute of Information Science, Academia Sinica, TWN, facility;Hung-Ming Yu, Institute of Information Science, Academia Sinica, TWN, facility;Hsin-Min Wang, Institute of Information Science, Academia Sinica, TWN, facility	Academia Sinica, Academia Sinica,Academia Sinica	facility, facility, facility	TWN, TWN, TWN
Ioannis Karydis;Alexandros Nanopoulos;Apostolos N. Papadopoulos;Dimitrios Katsaros 0001;Yannis Manolopoulos	Content-Based Music Information Retrieval in Wireless Ad-Hoc Networks.	2005	https://doi.org/10.5281/zenodo.1417665	Ioannis Karydis, Aristotle University, GRC, education;Alexandros Nanopoulos, Aristotle University, GRC, education;Dimitrios Katsaros, Aristotle University, GRC, education;Yannis Manolopoulos, Aristotle University, GRC, education;Apostolos Papadopoulos, Aristotle University, GRC, education	 Aristotle University of Thessaloniki, Aristotle University of Thessaloniki, Aristotle University of Thessaloniki, Aristotle University of Thessaloniki, Aristotle University of Thessaloniki	education, education, education, education, education	GRC, GRC, GRC, GRC, GRC
Elias Pampalk;Arthur Flexer;Gerhard Widmer	Improvements of Audio-Based Music Similarity and Genre Classificaton.	2005	https://doi.org/10.5281/zenodo.1418083	Elias Pampalk, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Institute of Medical Cybernetics and Artificial Intelligence, Center for Brain Research, Medical University of Vienna, AUT, education, Department of Computational Perception, Johannes Kepler University, AUT, education;Arthur Flexer, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Institute of Medical Cybernetics and Artificial Intelligence, Center for Brain Research, Medical University of Vienna, AUT, education;Gerhard Widmer, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Department of Computational Perception, Johannes Kepler University, AUT, education	 Austrian Research Institute for Artificial Intelligence, Austrian Research Institute for Artificial Intelligence, Austrian Research Institute for Artificial Intelligence 	facility, facility, facility	AUT, AUT, AUT
Simon Dixon;Gerhard Widmer	MATCH: A Music Alignment Tool Chest.	2005	https://doi.org/10.5281/zenodo.1416952	Simon Dixon, Austrian Research Institute for Artificial Intelligence, AUT, facility;Gerhard Widmer, Johannes Kepler University Linz, AUT, education	 Austrian Research Institute for Artificial Intelligence, Johannes Kepler University	facility, education	AUT, AUT
Elias Pampalk;Tim Pohle;Gerhard Widmer	Dynamic Playlist Generation Based on Skipping Behavior.	2005	https://doi.org/10.5281/zenodo.1414932	Elias Pampalk, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Johannes Kepler University, AUT, education;Tim Pohle, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Johannes Kepler University, AUT, education;Gerhard Widmer, Austrian Research Institute for Artificial Intelligence (OFAI), AUT, facility, Johannes Kepler University, AUT, education	Austrian Research Institute for Artificial Intelligence,Austrian Research Institute for Artificial Intelligence,Austrian Research Institute for Artificial Intelligence	facility, facility, facility	AUT, AUT, AUT
Roger B. Dannenberg	Toward Automated Holistic Beat Tracking, Music Analysis and Understanding.	2005	https://doi.org/10.5281/zenodo.1415246	Roger B. Dannenberg, Carnegie Mellon University, USA, education	Carnegie Mellon University	education	USA
Ning Hu;Roger B. Dannenberg	A Bootstrap Method for Training an Accurate Audio Segmenter.	2005	https://doi.org/10.5281/zenodo.1416200	Ning Hu, Carnegie Mellon University, USA, education;Roger B. Dannenberg, Carnegie Mellon University, USA, education	 Carnegie Mellon University, Carnegie Mellon University	education, education	USA, USA
Wei Liang;Shuwu Zhang;Bo Xu 0002	A Histogram Algorithm for Fast Audio Retrieval.	2005	https://doi.org/10.5281/zenodo.1415812	Wei Liang, Institute of Automation, Chinese Academy of Sciences, CHN, facility;Shuwu Zhang, Institute of Automation, Chinese Academy of Sciences, CHN, facility;Bo Xu, Institute of Automation, Chinese Academy of Sciences, CHN, facility	Chinese Academy of Sciences, Chinese Academy of Sciences,Chinese Academy of Sciences	facility, facility, facility	CHN, CHN, CHN
Wei Liang;Shuwu Zhang;Bo Xu 0002	A Hierarchical Approach for Audio Stream Segmentation and Classification.	2005	https://doi.org/10.5281/zenodo.1415166	Wei Liang, Institute of Automation, Chinese Academy of Sciences, CHN, facility;Shuwu Zhang, Institute of Automation, Chinese Academy of Sciences, CHN, facility;Bo Xu, Institute of Automation, Chinese Academy of Sciences, CHN, facility	Chinese Academy of Sciences, Chinese Academy of Sciences,Chinese Academy of Sciences	facility, facility, facility	CHN, CHN, CHN
Tillman Weyde;Christian Datzko	Efficient Melody Retrieval with Motif Contour Classes.	2005	https://doi.org/10.5281/zenodo.1414738	Tillman Weyde, City University, School of Informatics, Department of Computing, London, UK, education;Christian Datzko, University of Osnabrück, Research Department of Music and Media Technology, Osnabrück, Germany, education	 City University London, University of Osnabrück 	education, education	GBR, DEU
Nancy Bertin;Alain de Cheveigné	Scalable Metadata and Quick Retrieval of Audio Signals.	2005	https://doi.org/10.5281/zenodo.1417079	Nancy Bertin, CNRS UMR 8581 - ENS (DEC), FRA, facility;Alain de Cheveigné, CNRS UMR 8581 - ENS (DEC), FRA, facility	CNRS,CNRS	facility, facility	FRA, FRA
Graham E. Poliner;Daniel P. W. Ellis	A Classification Approach to Melody Transcription.	2005	https://doi.org/10.5281/zenodo.1414796	Graham E. Poliner, Columbia University, USA, education;Daniel P.W. Ellis, Columbia University, USA, education	 Columbia University, Columbia University	education, education	USA, USA
Michael I. Mandel;Dan Ellis	Song-Level Features and Support Vector Machines for Music Classification.	2005	https://doi.org/10.5281/zenodo.1415024	Michael I. Mandel, Columbia University, USA, education;Daniel P.W. Ellis, Columbia University, USA, education	 Columbia University, Columbia University	education, education	USA, USA
Özgür Izmirli	Tonal Similarity from Audio Using a Template Based Attractor Model.	2005	https://doi.org/10.5281/zenodo.1416688	Özgür İzmirli, Connecticut College, USA, education	Connecticut College	education	USA
Nicolas Scaringella;Giorgio Zoia	On the Modeling of Time Information for Automatic Genre Recognition Systems in Audio Signals.	2005	https://doi.org/10.5281/zenodo.1416064	Nicolas Scaringella, École Polytechnique Fédérale de Lausanne, CHE, education;Giorgio Zoia, École Polytechnique Fédérale de Lausanne, CHE, education	 École Polytechnique Fédérale de Lausanne, École Polytechnique Fédérale de Lausanne	education, education	CHE, CHE
Richard Stenzel;Thomas Kamps	Improving Content-Based Similarity Measures by Training a Collaborative Model.	2005	https://doi.org/10.5281/zenodo.1416090	Richard Stenzel, Fraunhofer IPSI, DEU, facility;Thomas Kamps, Fraunhofer IPSI, DEU, facility	 Fraunhofer IPSI, Fraunhofer IPSI	facility, facility	DEU, DEU
Shankar Vembu;Stephan Baumann 0001	Separation of Vocals from Polyphonic Audio Recordings .	2005	https://doi.org/10.5281/zenodo.1414852	Shankar Vembu, German Research Centre for AI, DEU, facility;Stephan Baumann, German Research Centre for AI, DEU, facility	 German Research Center for Artificial Intelligence, German Research Center for Artificial Intelligence	facility, facility	DEU, DEU
Sven Degroeve;Koen Tanghe;Bernard De Baets;Marc Leman;Jean-Pierre Martens	A Simulated Annealing Optimization of Audio Features for Drum Classification.	2005	https://doi.org/10.5281/zenodo.1417311	Sven Degroeve, Ghent University, BEL, education;Koen Tanghe, Ghent University, BEL, education;Bernard De Baets, Ghent University, BEL, education;Marc Leman, Ghent University, BEL, education;Jean-Pierre Martens, Ghent University, BEL, education	 Ghent University, Ghent University, Ghent University, Ghent University, Ghent University	education, education, education, education, education	BEL, BEL, BEL, BEL, BEL
Koen Tanghe;Micheline Lesaffre;Sven Degroeve;Marc Leman;Bernard De Baets;Jean-Pierre Martens	Collecting Ground Truth Annotations for Drum Detection in Polyphonic Music.	2005	https://doi.org/10.5281/zenodo.1417715	Koen Tanghe, Ghent University, BEL, education;Micheline Lesaffre, Ghent University, BEL, education;Sven Degroeve, Ghent University, BEL, education;Marc Leman, Ghent University, BEL, education;Bernard De Baets, Ghent University, BEL, education;Jean-Pierre Martens, Ghent University, BEL, education	 Ghent University, Ghent University, Ghent University, Ghent University, Ghent University, Ghent University	education, education, education, education, education, education	BEL, BEL, BEL, BEL, BEL, BEL
David Meredith 0001;Geraint A. Wiggins	Comparing Pitch Spelling Algorithms.	2005	https://doi.org/10.5281/zenodo.1416366	David Meredith, Goldsmiths’ College, University of London, GBR, education;Geraint A. Wiggins, Goldsmiths’ College, University of London, GBR, education	Goldsmiths University of London,Goldsmiths University of London	education, education	GBR, GBR
Ruth Dhanaraj;Beth Logan	Automatic Prediction of Hit Songs.	2005	https://doi.org/10.5281/zenodo.1417571	Ruth Dhanaraj, Hewlett Packard Labs, USA, company;Beth Logan, Hewlett Packard Labs, USA, company	Hewlett-Packard Labs,Hewlett-Packard Labs	company, company	USA, USA
Jean-François Paiement;Douglas Eck;Samy Bengio	A Probabilistic Model for Chord Progressions.	2005	https://doi.org/10.5281/zenodo.1416922	Jean-Franc¸ois Paiement, IDIAP Research Institute, CHE, facility;Douglas Eck, University of Montreal, CAN, education;Samy Bengio, IDIAP Research Institute, CHE, facility	 IDIAP Research Institute, University of Montreal, IDIAP Research Institute	facility, education, facility	CHE, CAN, CHE
Christopher Raphael	A Graphical Model for Recognizing Sung Melodies.	2005	https://doi.org/10.5281/zenodo.1417052	Christopher Raphael, Indiana Univ., USA, education	Indiana University Bloomington	education	USA
Jenn Riley	Exploiting Musical Connections: A Proposal for Support of Work Relationships in a Digital Music Library.	2005	https://doi.org/10.5281/zenodo.1415660	Jenn Riley, Indiana University Digital Library Program, USA, education	Indiana University Bloomington	education	USA
Eric J. Isaacson	What You See Is What You Get: on Visualizing Music.	2005	https://doi.org/10.5281/zenodo.1415992	Eric Isaacson, Indiana University School of Music, USA, education	Indiana University Bloomington	education	USA
Geoffroy Peeters	Rhythm Classification Using Spectral Rhythm Patterns.	2005	https://doi.org/10.5281/zenodo.1417495	Geoffroy Peeters, IRCAM, FRA, facility	IRCAM	facility	FRA
