hovy eduard 
howcroft jacob 
howe bill 
howes samuel 
hrybyk alex 
hsu chao-ling 
hsu chung-chien 
hsu jennifer 
hsu kai-chun 
hsu ling-chi 
hu anthony 
hu diane j. 
hu ning 
hu xiao 
hu yajie 
huang cheng-zhi anna 
huang jiawen 
huang po-sen 
huang yu-fen 
huang yu-hui 
hubbles chris 
hubener lauren 
huber ramona 
humphrey eric 
humphrey eric j. 
hung yun-ning 
hupfauf benedikt 
hurley neil j. 
hwang eenjun 
hyrkas jeremy 
härmä aki 
höger frank 
hörschläger florian 
ibrahim karim m. 
iliopoulos costas 
iliopoulos costas s. 
imbert laurent 
inesta josé m. 
inskip charles 
inskip charlie 
inventado paul salvador 
irigaray ignacio 
isaacson eric 
ishida keisuke 
ishizaki hiromi 
ishwar vignesh 
ito akinori 
ito masashi 
itou katunobu 
itoyama katsutoshi 
ivanović mirjana 
izard thomas 
izmirli özgür 
izumitani tomonori 
iñesta j.m. 
iñesta jose m. 
iñesta josé manuel 
j.weiss ron 
jacobson kurt 
janer jordi 
jang jyh-shing roger 
jannach dietmar 
janssen berit 
jansson andreas 
jančovič peter 
jarke matthias 
jarrett kevin 
jehan tristan 
jeng shyh-kang 
jenrungrot teerapat 
jensen david d. 
jensen jesper højvang 
jensen søren holdt 
jensenius alexander refsum 
jentzsch anja 
jeon sungwook 
jeon woojay 
jeong dasaem 
jeong il-young 
jewell michael o. 
jiang helga 
jiang junyan 
jiang nanzhu 
jiang yucong 
jie wei 
jin rong 
jo seokhwan 
joachims thorsten 
joder cyril 
joe kazuki 
johnson colin g. 
johnson matthew 
jones andrew 
jones m. cameron 
jones randy 
joo sihyun 
jordà sergi 
joren six 
joséburred juan 
ju yaolong 
juhász zoltán 
julià carles f. 
jun sanghoon 
juncher kim lundsteen 
jung cláudio rosito 
jure luis 
kaestner celso a.a. 
kaiser florian 
kakade sham m. 
kako tatsuya 
kaliakatsos-papakostas maximos 
kalliris george 
kamalzadeh mohsen 
kameoka hirokazu 
kamps thomas 
kando noriko 
kaneshiro blair 
kantan prithvi 
kanters pieter 
kapur ajay 
karnick harish 
karsdorp folgert 
karsten thomas 
karydis ioannis 
kashino kunio 
kasimi alia al 
katayose haruhiro 
kato makoto p. 
kato tsuneo 
katsaros dimitrios 
katsiavalos andreas 
katsouros vassilis 
katto jiro 
kavukcuoglu koray 
kawai hisashi 
kawasaki yuta 
kaye robert 
keast jessica 
kedyte vytaute 
kelkar tejaswinee 
kell thor 
kelleher john 
keller damián 
kelly cillian 
kelz rainer 
kemal karaosmanoǧlu m. 
keogh eamonn 
kepper johannes 
kereliuk corey 
kerre etienne e. 
kersten stefan 
kešelj vlado 
khadkevich maksim 
khlif anis 
kim dokyun 
kim hyoung-gook 
kim hyung-suk 
kim hyunwoo j. 
kim jeounghoon 
kim jong wook 
kim joon hee 
kim minje 
kim seohyun 
kim taehoon 
kim wan soo 
kim yea-seul 
kim yoojin 
kim youngmoo 
kim youngmoo e. 
king richard 
kinnaird katherine m. 
kirchhoff holger 
kirlin phillip b. 
kita kenji 
kitahara tetsuro 
kitamura tadashi 
kitano yu 
klapuri anssi 
kleedorfer florian 
kleinertz rainer 
klüber rené 
knees peter 
knight trevor 
knopke ian 
kobayashi kazuhiro 
kobayashi yoshiyuki 
koduri gopala k. 
koenig lionel 
koenigstein noam 
koerich alessandro l. 
kohler eddie 
kohlrausch armin 
kolozali sefki 
komatani kazunori 
kompatsiaris yiannis 
kong lam wang 
konrad andres 
konz verena 
koops hendrik vincent 
koppenberger markus 
korst jan 
korzeniowski filip 
kosta katerina 
kotropoulos constantine 
koutlis christos 
kowalski matthieu 
kozielski christoph 
košir andrej 
krakowski sergio 
krasanakis emmanouil 
krebs florian 
kreger-stickles lucas 
krehbiel dwight 
krishnaraj sekhar p.v. 
kroher n. 
kroher nadine 
kruspe anna m. 
kulis brian 
kum sangeun 
kumar aparna 
kumar manoj 
kuribayashi taku 
kurth frank 
kuuskankare mika 
kwak nojun 
kwok yu-kwong 
kwon taegyun 
kégl balázs 
köküer münevver 
laaksonen antti 
lachambre helene 
lacoste alexandre 
ladlow margaret 
lafay grégoire 
lagendijk r.l. 
lagrange mathieu 
lai catherine 
laitinen mika 
lallai taric 
lam wang-kong 
lambert andrew j. 
lambert joe 
lamere paul 
lampropoulos aristomenis s. 
lampropoulou paraskevi s. 
lanckriet gert 
landone christian 
laney robin 
langer tim 
langhabel jonas 
langlois thibault 
lanzelotte rosana s.g. 
laplante audrey 
large edward w. 
laroche clément 
larralde joseph 
larsen jan 
larson martha 
lartillot olivier 
lattner stefan 
lau josephine 
laurier cyril 
laurson mikael 
lausen georg 
law edith 
law edith l. m. 
lawlor aonghus 
lazzarini victor 
le blouch olivier 
le coz maxime 
le goff mickael 
le meur thierry 
lebosse jerome 
lecun yann 
lee ann 
lee c.-h. 
lee chin-hui 
lee chuan-lung 
lee chung 
lee feng-yi 
lee hong-ru 
lee honglak 
lee hung-shin 
lee jie hwan 
lee jin ha 
lee jongpil 
lee juheon 
lee jun-yong 
lee kyogu 
lee kyungyun 
lee seunghee 
lee tan 
lee tsung-chi 
lefeber marieke 
lefèvre augustin 
legaspi roberto 
lehn-schiøler tue 
lehner bernhard 
leider colby 
leitich stefan 
lemaire quentin 
lemaitre guillaume 
leman marc 
lemieux simon 
lemstrom kjell 
lemström kjell 
lemstr̈om kjell 
leon simon de 
leonard brett 
leonardis aleš 
lerch alexander 
leresche françoise 
lesaffre micheline 
leue ian 
levada alexandre l.m. 
leveau pierre 
levy mark 
levé florence 
lewis david 
lewis richard 
li beinan 
li bochen 
li dingding 
li f.f. 
li fanjie 
li haizhou 
li hsing-ji 
li jingxuan 
li li 
li ming 
li pei-ching 
li peter 
li shengchen 
li tao 
li wei 
li wen 
li yipeng 
li yiting ethan 
li zhiye 
lian wenwei 
liang che-yuan 
