Pedro González-Barrachina, University of Alicante;María Alfaro-Contreras, University of Alicante;Jorge Calvo-Zaragoza, University of Alicante	Pedro González-Barrachina, University of Alicante	María Alfaro-Contreras, University of Alicante	Jorge Calvo-Zaragoza, University of Alicante																
Elena Georgieva, NYU;Pablo Ripollés, New York University;Brian McFee, New York University	Elena Georgieva, NYU	Pablo Ripollés, New York University	Brian McFee, New York University																
Jiwoo Ryu, Sogang University;Hao-Wen Dong, University of Michigan;Jongmin Jung, Sogang University;Dasaem Jeong, Sogang University	Jiwoo Ryu, Sogang University	Hao-Wen Dong, University of Michigan	Jongmin Jung, Sogang University	Dasaem Jeong, Sogang University															
Yun-Han Lan, Taiwan AI Labs;Wen-Yi Hsiao, Taiwan AI Labs;Hao-Chung Cheng, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yun-Han Lan, Taiwan AI Labs	Wen-Yi Hsiao, Taiwan AI Labs	Hao-Chung Cheng, National Taiwan University	Yi-Hsuan Yang, National Taiwan University															
Pavani B Chowdary, International Institute of Information Technology, Hyderabad;Bhavyajeet Singh, International Institute of Information Technology, Hyderabad ;Rajat Agarwal, International Institute of Information Technology;Vinoo  Alluri, IIIT - Hyderabad	Pavani B Chowdary, International Institute of Information Technology, Hyderabad	Bhavyajeet Singh, International Institute of Information Technology, Hyderabad 	Rajat Agarwal, International Institute of Information Technology	Vinoo  Alluri, IIIT - Hyderabad															
Shangda Wu, Central Conservatory of Music;Yashan Wang, Central Conservatory of Music;Xiaobing Li, Central Conservatory of Music;Feng Yu, Central Conservatory of Music;Maosong Sun, Tsinghua University	Shangda Wu, Central Conservatory of Music	Yashan Wang, Central Conservatory of Music	Xiaobing Li, Central Conservatory of Music	Feng Yu, Central Conservatory of Music	Maosong Sun, Tsinghua University														
Tim Beyer, Technical University of Munich;Angela Dai, Technical University of Munich	Tim Beyer, Technical University of Munich	Angela Dai, Technical University of Munich																	
Vjosa Preniqi, Queen Mary University of London;Iacopo Ghinassi, Queen Mary University of London;Julia Ive, Queen Mary University of London;Kyriaki Kalimeri, ISI Foundation;Charalampos Saitis, Queen Mary University of London	Vjosa Preniqi, Queen Mary University of London	Iacopo Ghinassi, Queen Mary University of London	Julia Ive, Queen Mary University of London	Kyriaki Kalimeri, ISI Foundation	Charalampos Saitis, Queen Mary University of London														
Stephen Hahn, Duke;Weihan Xu, duke;Zirui Yin, Duke University;Rico Zhu, Duke University;Simon Mak, Duke University;Yue Jiang, Duke University;Cynthia Rudin, Duke	Stephen Hahn, Duke	Weihan Xu, duke	Zirui Yin, Duke University	Rico Zhu, Duke University	Simon Mak, Duke University	Yue Jiang, Duke University	Cynthia Rudin, Duke												
Haonan Chen, Bytedance Inc.;Jordan B. L. Smith, TikTok;Janne Spijkervet, University of Amsterdam;Ju-Chiang Wang, ByteDance;Pei Zou, Bytedance Inc.;Bochen Li, University of Rochester;Qiuqiang Kong, Byte Dance;Xingjian Du, University of Rochester	Haonan Chen, Bytedance Inc.	Jordan B. L. Smith, TikTok	Janne Spijkervet, University of Amsterdam	Ju-Chiang Wang, ByteDance	Pei Zou, Bytedance Inc.	Bochen Li, University of Rochester	Qiuqiang Kong, Byte Dance	Xingjian Du, University of Rochester											
Irmak Bukey, Carnegie Mellon University;Michael Feffer, Carnegie Mellon University;Chris Donahue, CMU	Irmak Bukey, Carnegie Mellon University	Michael Feffer, Carnegie Mellon University	Chris Donahue, CMU																
Ziya Zhou, HKUST;Yuhang Wu, Multimodal Art Projection;Zhiyue Wu, Shenzhen University;Xinyue Zhang, Multimodal Art Projection;Ruibin Yuan, CMU;Yinghao MA, Queen Mary University of London;Lu Wang, Shenzhen University;Emmanouil Benetos, Queen Mary University of London;Wei Xue, The Hong Kong University of Science and Technology;Yike Guo, Hong Kong University of Science and Technology	Ziya Zhou, HKUST	Yuhang Wu, Multimodal Art Projection	Zhiyue Wu, Shenzhen University	Xinyue Zhang, Multimodal Art Projection	Ruibin Yuan, CMU	Yinghao MA, Queen Mary University of London	Lu Wang, Shenzhen University	Emmanouil Benetos, Queen Mary University of London	Wei Xue, The Hong Kong University of Science and Technology	Yike Guo, Hong Kong University of Science and Technology									
Arthur Flexer, Johannes Kepler University Linz	Arthur Flexer, Johannes Kepler University Linz																		
Weixing Wei, Kyoto University;Jiahao Zhao, Kyoto University;Yulun Wu, Fudan University;Kazuyoshi Yoshii, Kyoto University	Weixing Wei, Kyoto University	Jiahao Zhao, Kyoto University	Yulun Wu, Fudan University	Kazuyoshi Yoshii, Kyoto University															
